Date,"Michael Jackson","Lady Gaga","Eminem","Justin Bieber","Freddie Mercury","Lil Wayne"
2015-07-01,19972,8465,23193,11212,49040,14055
2015-07-02,19225,8209,37222,11419,29783,13463
2015-07-03,18813,7855,26665,10973,23307,13176
2015-07-04,19003,8037,21772,10816,19240,32271
2015-07-05,19765,8879,21131,10737,17166,30900
2015-07-06,20621,8187,21407,11675,16976,30294
2015-07-07,19211,8292,20295,14246,14929,25253
2015-07-08,21783,8627,19430,13780,18793,25403
2015-07-09,19010,8845,19640,12273,15340,23073
2015-07-10,19506,9079,20128,11331,16235,23376
2015-07-11,19027,8729,20648,11342,21364,21447
2015-07-12,19796,9461,20161,11530,18439,18354
2015-07-13,19183,9869,21423,11407,17003,18630
2015-07-14,18438,9749,20860,12439,14321,19795
2015-07-15,17751,8998,21813,13836,11839,15582
2015-07-16,18671,8267,20711,12025,11626,23195
2015-07-17,17524,7901,20138,12833,11843,24902
2015-07-18,20815,8455,21482,11392,12815,18873
2015-07-19,18342,9390,20072,11583,13581,16363
2015-07-20,17705,9775,20947,11252,11826,15352
2015-07-21,17420,8674,26176,10876,11280,15971
2015-07-22,17033,9335,22903,11401,10468,17808
2015-07-23,18055,9024,24915,10721,10565,15778
2015-07-24,19981,8767,30395,10808,11892,15207
2015-07-25,20547,9632,30039,10205,13957,13654
2015-07-26,20685,11708,24464,10645,13739,14094
2015-07-27,24974,10944,22467,10789,13808,16019
2015-07-28,19863,14214,20979,10860,10872,15245
2015-07-29,23499,10015,22875,12542,10324,17609
2015-07-30,18426,11356,23958,11485,10568,15299
2015-07-31,17691,8760,23042,11193,11234,14957
2015-08-01,22353,9951,23111,11046,52029,13554
2015-08-02,19363,10980,24622,11066,32608,12844
2015-08-03,16706,9369,26170,10771,15874,11978
2015-08-04,17747,9324,28847,11434,12053,13575
2015-08-05,19013,8726,21901,10854,11409,13252
2015-08-06,18878,8179,22091,10963,10277,17019
2015-08-07,18611,8649,25619,11081,10862,13416
2015-08-08,20011,9053,25874,10785,14126,13049
2015-08-09,21661,8894,40460,11768,12077,13615
2015-08-10,19022,8761,22808,10486,10128,13002
2015-08-11,17699,8550,23999,10577,9967,12734
2015-08-12,18370,8122,23972,11099,9519,12732
2015-08-13,20790,10123,24339,11098,10045,14376
2015-08-14,19997,9592,26793,11276,12246,12534
2015-08-15,18580,9351,27397,11078,13109,12700
2015-08-16,19968,9662,29114,11495,13720,12487
2015-08-17,19496,9212,32429,11106,10995,12676
2015-08-18,19013,9096,31700,11065,10923,12503
2015-08-19,18180,9193,28812,10884,11166,11749
2015-08-20,20772,9957,26801,10714,11896,12679
2015-08-21,17966,10026,26519,11054,10884,12114
2015-08-22,21005,9079,28458,11501,11172,11777
2015-08-23,20604,10680,28111,13454,12261,12320
2015-08-24,18860,9467,27730,12386,10872,14376
2015-08-25,19016,9181,25341,13784,11194,13678
2015-08-26,20080,8724,24413,13003,10305,12545
2015-08-27,19446,8971,23128,17724,15483,12664
2015-08-28,22393,8798,24621,27694,11972,12884
2015-08-29,60176,8511,26650,26888,13938,13126
2015-08-30,43844,9281,28526,22613,16604,12556
2015-08-31,23811,10265,27682,65619,14381,12701
2015-09-01,20839,9052,24793,33319,11897,11981
2015-09-02,17910,7890,23428,26954,11254,12052
2015-09-03,18072,7960,23962,37510,11042,11534
2015-09-04,18189,7838,24875,32752,27003,11633
2015-09-05,19154,8207,26421,28366,52381,11685
2015-09-06,19619,8528,27107,25213,34132,11890
2015-09-07,19408,8368,26518,22387,21147,12106
2015-09-08,19968,8050,24757,21319,15323,11128
2015-09-09,17156,7568,23061,21869,18464,11228
2015-09-10,17581,8363,24343,25339,14207,11320
2015-09-11,17543,9072,23751,21943,14253,10736
2015-09-12,19752,9008,24273,22632,15151,10612
2015-09-13,19612,9099,25447,21638,13715,10736
2015-09-14,17058,7990,23731,19530,13172,10664
2015-09-15,16651,8285,21804,18953,17817,12540
2015-09-16,17701,8183,21309,17884,18637,11454
2015-09-17,17652,8054,21487,17194,14198,10872
2015-09-18,18934,12684,21976,17166,13838,10378
2015-09-19,18233,15032,22369,17944,18413,10991
2015-09-20,20353,14692,24337,18047,14477,11042
2015-09-21,18506,21964,20615,15697,12215,11735
2015-09-22,17947,13040,20670,15929,15124,11539
2015-09-23,17761,12332,21234,16457,13845,11423
2015-09-24,19137,10574,23152,15506,13104,13053
2015-09-25,17998,9778,22764,16365,11825,12402
2015-09-26,18147,10766,20365,16279,12224,12080
2015-09-27,18936,10636,20110,17403,11972,15573
2015-09-28,17662,9311,19227,17557,10396,13492
2015-09-29,20680,9861,19075,26039,10046,11298
2015-09-30,20901,11524,19632,18642,10196,12276
2015-10-01,18743,9900,19305,15771,10501,10897
2015-10-02,20462,10864,21105,17252,10966,11369
2015-10-03,21823,11162,20773,17853,10977,10954
2015-10-04,19825,13304,23140,17103,10223,11172
2015-10-05,18323,14579,21874,15343,9213,11210
2015-10-06,17885,13469,20702,15445,9106,11230
2015-10-07,19617,25800,19905,17937,8962,11575
2015-10-08,19086,38024,26355,23174,10399,12011
2015-10-09,18079,22960,24788,26716,10930,12140
2015-10-10,22056,18334,20681,25012,11582,12102
2015-10-11,27314,16280,20241,22164,11359,11383
2015-10-12,18860,15613,20191,19369,10861,13425
2015-10-13,19373,14822,20151,17537,9475,12351
2015-10-14,17611,13372,19271,16297,9554,12073
2015-10-15,18780,28241,20496,15775,9898,11660
2015-10-16,18322,19694,23126,19384,10666,12099
2015-10-17,20784,17192,44270,18820,10760,11582
2015-10-18,19546,16097,32623,19463,10527,11516
2015-10-19,19774,14138,22986,17820,9556,11295
2015-10-20,19273,13676,21372,17293,9325,11155
2015-10-21,19270,15142,20869,16198,9136,11437
2015-10-22,21879,17457,20233,20242,9617,11798
2015-10-23,24967,15790,20318,32608,10296,12971
2015-10-24,22425,18623,19297,26332,11417,11757
2015-10-25,21668,14413,19868,27952,14023,11480
2015-10-26,20179,12489,19463,27909,14501,11557
2015-10-27,19905,11195,19912,23224,10404,12557
2015-10-28,21166,14847,19608,21930,11269,12427
